Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
Что такое динамический полиморфизм?,"Это механизм, позволяющий использовать разным объектам методы с одинаковым именем (переопределение методов).","Механизм, при котором одно и то же имя метода может использоваться для выполнения различных действий(перегрузка).","Это механизм, позволяющий использовать разные объекты без указания их конретного типа.","Это механизм, позволяющий динамичестки  определять, нужен ли полиморфизм или нет.","Динамический полиморфизм - это механизм, который позволяет объектам различных классов реагировать на вызовы методов с одинаковыми именами, но с разной реализацией, во время выполнения программы.

Динамический полиморфизм достигается через наследование и виртуальные методы. Когда метод объявлен с ключевым словом virtual в базовом классе и переопределен (override) в производном классе с использованием ключевого слова override, во время выполнения вызывается метод из производного класса, а не базового класса, в соответствии с типом объекта, на котором вызывается метод.",80
Что такое Scriptable Objects в Unity3D и для чего они используются?,"Это тип объектов, который позволяет создавать и хранить данные.",Это компоненты для работы с физическими эффектами.,Это система для создания анимаций персонажей.,Это компоненты для работы с UI элементами.,"Scriptable Objects в Unity3D - это особый тип объектов, который позволяет создавать и хранить данные, которые можно использовать в проекте. Они представляют собой классы, которые могут содержать переменные и методы, но не требуют наличия GameObject в сцене.
Применение:
Хранение и настройка данных о персонажах, оружии, предметах, уровнях и других игровых объектах.
Управление состоянием и поведением AI.
Создание систем для генерации уровней или случайных событий.
Сохранение настроек пользовательского интерфейса и управления анимациями.",80
Как можно оптимизировать работу UI элементов в Unity?,"Сгруппировать статические UI на одном канвасе, а динамические элементы — на другом.",Расположить все объекты на канвасе в начале координат.,Сгруппировать абсолютно все UI элементы на одном канвасе.,"Разделить экран на 4 части, в каждой создать отдельный канвас.","Разделение на статические и динамические элементы позволяет использовать различные подходы к оптимизации для каждого типа. Статические элементы обрабатываются на этапе разработки, что снижает нагрузку на процессор во время игры. В то же время, динамические элементы обновляются в реальном времени, что обеспечивает гибкость и интерактивность в игре.",81
Что такое Unity DOTS ?,"Это стек технологий, для разработки высокоэффективных игр с использованием принципов ориентированных на данные.","это расширение для создания трехмерных точек в игре, которые могут быть использованы для создания эффектов и специальных визуальных элементов.",Это плагин для управления объектами в сцене и их анимациями.,Это система управления версиями и совместной разработки игр на платформе Unity.,"Unity DOTS (Data-Oriented Technology Stack) - это набор технологий и подходов, предоставляемых Unity для оптимизации производительности и управления данными в играх. Основной идеей DOTS является ориентированность на данные, что позволяет эффективно использовать многопоточность.

DOTS включает в себя:

ECS (Entity Component System), Burst Compiler, Jobs System.

DOTS позволяет разработчикам создавать более производительные и масштабируемые игры, особенно на платформах с многопоточными процессорами. ",82
Чем корутины отличаются от асинхронных методов?,"Корутина выполняется в основном потоке. Асинхронные методы могут выполняться как в основном, так и в фоновых потоках.","Корутины используют ключевое слово await, а асинхронные методы используют ключевое слово yield.",Корутины более эффективны и быстрые по сравнению с асинхронными методами.,Корутина выполняется в фоновых потоках. Асинхронные методы выполняются в основном потоке.,"Корутины в Unity выполняются в основном потоке. Они используют механизм yield для приостановки и возобновления выполнения, что позволяет создавать асинхронные задачи без блокировки основного потока и, таким образом, не приводят к замедлению обновления кадров в игре.

Асинхронные методы в Unity, которые используют ключевое слово async, могут выполняться как в основном потоке, так и в фоновых потоках, в зависимости от того, какой именно код выполняется асинхронно. ",82
Какой инструмент Unity позволяет создавать и редактировать анимации в формате timeline?,Timeline Window,Animation Window,Animator Controller,Inspector,"Timeline Window (Окно временных шкал) в Unity представляет собой инструмент для создания и редактирования сложных временных линий, которые позволяют управлять анимациями, событиями, звуками и другими элементами в игре. Оно позволяет создавать кинематографические сцены и событийные последовательности, а также управлять временными параметрами объектов в игровом мире. Timeline Window часто используется для создания кинематических сценариев, вступительных роликов, анимаций камеры и комплексных анимационных последовательностей.",83
"Разработчик выполняет следующий C#-код, который ищет все игровые объекты с тегом ""Enemy"". Однако при выполнении FindGameObjectsWithTag возвращает NULL, несмотря на то, что в сцене есть объекты с тегом ""Enemy"". Какая возможная причина?
GameObject[] MyEnemies = GameObject.FindGameObjectsWithTag(""Enemy"");",Объекты не активны,"Объекты должны содержать ""Enemy"" в имени",Объекты находятся на слое UI,Объекты анимированы,"Метод FindGameObjectsWithTag в Unity не находит неактивные объекты по умолчанию из-за оптимизации производительности. По умолчанию, поиск происходит только среди активных объектов на сцене, чтобы уменьшить нагрузку на процессор и память.

Если разработчик хочет найти неактивные объекты с тегом, можно использовать дополнительную логику. Например, можно создать список активных и неактивных объектов с данным тегом и потом объединить их в один список для дальнейшей обработки. ",84
Каким образом отрицательные числа представляются в памяти компьютера?,Отрицательные числа представляются путем инвертирования всех битов положительного числа и добавления единицы к результату.,"При представлении отрицательных чисел используется дополнительный бит, указывающий, что число отрицательное.","Отрицательные числа представляются с использованием десятичной системы счисления, но с отрицательным знаком, например ""-5"".","Отрицательные числа представляются в памяти компьютера с использованием фракций, которые отражают их отрицательное значение.","Для получения двоичного отрицательного числа, необходимо выполнить следующие шаги:
Представьте число положительным числом в двоичной форме.
Инвертируйте все биты числа (замените 0 на 1 и 1 на 0).
Добавьте единицу к результату предыдущего шага.

Например, для представления -5 в 8-битном двоичном виде:
Представление положительного числа 5: 00000101.
Инверсия всех битов: 11111010.
Добавление единицы: 11111011.
Таким образом, -5 представляется в памяти компьютера как 8-битное число 11111011.",84
Что такое замыкание (closure) в C#? ,"Замыкание - это функция, которая запоминает и использует значения переменных из внешней области видимости.","Замыкание  - это процесс закрытия и защиты доступа к переменным, чтобы они не могли быть изменены из других частей кода.","Замыкание - это специальный синтаксис, который используется для создания анонимных методов.","Замыкание - это функция, которая автоматически вызывается при инициализации переменной.","Замыкание (closure) в C# - это функция, которая захватывает и удерживает в памяти значения переменных из внешней области видимости, в которой она была создана, даже после того, как эта область видимости завершила свое выполнение.

public static Func<int, int> CreateMultiplier(int factor)
{
    return x => x * factor;
}
var multiplierBy2 = CreateMultiplier(2);
var result = multiplierBy2(5);

Функция CreateMultiplier создает и возвращает лямбда-выражение, которое умножает переданное число на фактор. При каждом вызове CreateMultiplier создается новое замыкание, которое запоминает значение фактора и использует его при вызове полученной функции multiplierBy2. ",85
В чём разница между ключевыми словами finally и finalize?,"finally используется в блоке try-catch, finalize вызывается при удалении объекта.","finally и finalize это одно и то же, но один используют с классами, а другой с методами и полями.","finally вызывается сборщиком мусора, finalize - блок, который игнорирует появление ошибки и вызывается в любом случае.","finally используется для определения окончания блока кода, finalize принудительно завершает выполнение программы.","finally является блоком кода в C#, который используется в связке с блоками try и catch для выполнения кода, который должен быть выполнен независимо от того, произошло исключение или нет.
finalize является методом в C#, который вызывается сборщиком мусора перед окончательным удалением объекта из памяти.",86
Что такое Normal Mapping в Unity?,Процесс изменения нормалей поверхности для создания иллюзии дополнительной детализации.,Метод оптимизации работы с физическими материалами в сцене.,Механизм для определения столкновений объектов в игровой сцене.,Метод для оптимизации использования ресурсов видеокарты при рендеринге сцены.,"Normal Mapping в Unity - это техника, используемая для добавления дополнительной детализации и реалистичности к поверхностям объектов без изменения их геометрии. Это позволяет создавать визуально более сложные и текстурные объекты, не увеличивая количество полигонов, что положительно сказывается на производительности.

Техника Normal Mapping основана на использовании текстур, называемых Normal Maps, которые содержат информацию о нормалях (направлениях поверхности) для каждого пикселя объекта. Эти нормали используются для определения, как свет взаимодействует с поверхностью, создавая иллюзию выступов и впадин.",86
Cinemachine предлагает инструменты для построения игрового поведения. Какой компонент создает траектории на основе сплайнов для движущихся объектов?,Cinemachine Smooth Path,Cinemachine Target Group, Cinemachine Free Look,Cinemachine Brain,"Компонент Cinemachine Smooth Path используется для создания плавных путей (траекторий) для перемещения объектов в Unity. Это позволяет легко задавать сложные траектории движения для камеры или других игровых объектов с помощью сплайнов, что улучшает анимацию и визуальный опыт в игре.",87
Что такое Reflection в C#?,"Reflection - это механизм, который позволяет анализировать и модифицировать свою структуру и поведение во время выполнения. ","Reflection - это технология, которая позволяет программе отслеживать и регистрировать изменения в базе данных.","Reflection  - это механизм, который автоматически рефакторит код, чтобы улучшить его производительность и читаемость.",Reflection - это процесс создания отражений на поверхности объектов в трехмерном пространстве с учетом нормалей.,"Reflection (отражение) в C# - это механизм, который позволяет программе анализировать, извлекать информацию о типах, а также взаимодействовать с ними во время выполнения программы. С помощью Reflection можно получить доступ к метаданным типов, таким как поля, свойства, методы, конструкторы, атрибуты и другие детали типа.

Reflection позволяет динамически создавать экземпляры типов, вызывать их методы, устанавливать и получать значения свойств, анализировать и изменять структуру типов на основе метаданных во время выполнения программы.",88
"Почему Dictionary работает быстрее, чем List?","Dictionary быстрее, благодаря использованию хэш-таблиц для хранения данных.","Dictionary быстрее, потому что он использует ""магический"" алгоритм поиска, который выполняется мгновенно.","Dictionary быстрее, благодаря современным и эффективным алгоритмам сравнения элементов.","Dictionary быстрее, потому что его элементы автоматически сортируются по ключам, что упрощает поиск.","В Dictionary каждый элемент хранится в виде пары ключ-значение. Он использует хэш-таблицу для эффективного доступа к элементам по ключу. Хэш-таблица позволяет выполнять операции добавления, удаления и поиска элементов за константное время (O(1)), в среднем. 

Доступ к элементам в List осуществляется по индексу. При поиске элемента в List требуется выполнить линейный поиск, просматривая каждый элемент до нахождения нужного индекса. Это занимает время пропорциональное размеру списка, то есть O(n), где n - количество элементов в списке.",88
"Что такое ""графический проход"" (Graphics Pass) в рамках Scriptable Render Pipeline (SRP) в Unity?",Шаг в процессе отрисовки объектов на экране.,Метод для передачи данных между CPU и GPU.,Механизм для объединения различных ассетов в один бандл.,Технология для управления памятью и оптимизации ресурсов.,"Графический проход (Graphics Pass) в рамках Scriptable Render Pipeline (SRP) в Unity представляет собой один из этапов процесса отрисовки объектов на экране. SRP позволяет разработчикам более гибко контролировать процесс рендеринга, разбивая его на отдельные проходы, каждый из которых выполняет определенные операции с графическими данными.
Каждый графический проход выполняет определенные шаги обработки данных, такие как: применение шейдеров, настройка материалов, расчет освещения, запись результатов в буферы кадра и т.д. Каждый проход определяет свой порядок операций и может использоваться для рендеринга определенных типов объектов или применения определенных эффектов.",89
Какой атрибут C# позволяет запускать класс и его методы внутри редактора в режиме редактирования?,[ExecuteAlways],"[Range(0,10)]",[Live],[Editor],"Атрибут [ExecuteAlways] применяется к методам в классах MonoBehaviour в Unity. Он указывает, что метод должен выполняться как в режиме редактора (Editor mode), так и в режиме игры (Play mode). Этот атрибут полезен, когда вы хотите, чтобы определенный метод работал как в редакторе, так и во время игры, что может упростить разработку и тестирование игры.

Основное назначение атрибута [ExecuteAlways] заключается в том, чтобы предоставить доступ к редакторским функциям и методам в процессе разработки игры, чтобы увидеть результаты изменений в сцене в редакторе и игре. ",90
Что такое Scriptable Render Pipeline (SRP) в Unity и для чего он используется?,Это метод работы с рендерингом в Unity для создания кастомных рендеринговых решений.,Это инструмент для управления зависимостями в Unity проектах.,Это специальная система управления асинхронным кодом в Unity.,"Это компонент Unity, позволяющий создавать сложные анимации.","Scriptable Render Pipeline (SRP) - это новый подход к рендерингу в Unity, который позволяет разработчикам создавать кастомные рендеринговые решения. Он предоставляет гибкость и контроль над процессом рендеринга, позволяя оптимизировать производительность и достичь высококачественных визуальных эффектов.

Применение SRP особенно актуально для больших проектов, которые требуют высокой степени оптимизации и масштабируемости. Он также позволяет упростить разработку для разных платформ, так как можно создать отдельные рендеринговые решения для мобильных устройств, десктопов и консолей.",90
В чем разница между Lambda и Expression в C#?,Lambda - компактный синтаксис анонимных функций. Expression - объектная модель для представления логической структуры выражений.,Lambda - для создания функций с фиксированным набором параметров. Expression позволяет работать с переменным числом параметров.,"Lambda используется для функционального программирования, а Expression - для объектно-ориентированного программирования.",Lambda и Expression - это два разных способа создания анонимных функций в C#.,"Lambda - это сокращенная и компактная форма записи анонимных функций в C#. Они позволяют создавать функции ""на лету"" без явного определения имени функции. 
Func<int, int, int> addNumbers = (x, y) => x + y;
Expression - это часть системы типов Expression Tree в C#. Они позволяют представлять логику выражений в виде объектной модели, что делает их доступными для динамической модификации и выполнения во время выполнения программы. 
        ParameterExpression x = Expression.Parameter(typeof(int), ""x"");
        ParameterExpression y = Expression.Parameter(typeof(int), ""y"");
        BinaryExpression sum = Expression.Add(x, y);",91
Что такое Jobs System в Unity?,Это система для управления задачами в фоновом режиме и оптимизации производительности.,Это система для создания и управления работой разработчиков в Unity.,"Это компонент, позволяющий управлять процессом загрузки ресурсов в игре.",Это технология для создания и управления различными заданиями в редакторе Unity.,"Jobs System в Unity представляет собой систему для выполнения параллельных вычислений на многопоточных процессорах. Он позволяет распределять вычислительные задачи между несколькими потоками, чтобы повысить производительность и улучшить производительность приложения.",92
Поле поиска в окне проекта может фильтровать отображение ассетов с помощью текстовых команд. Какая команда отобразит только текстуры?,T:texture, T:mesh, T:mesh, Show textures,"
Для окна поиска в Unity есть несколько команд, которые позволяют фильтровать отображение ассетов:

""t:Type"" - отображает ассеты указанного типа. Например, ""t:Prefab"" отобразит только префабы.
""l:Label"" - отображает ассеты с указанной меткой . 
""b:BuildSettings"" - отображает ассеты, связанные с настройками сборки.
""d:Script"" - отображает скрипты.
""n:Name"" - отображает ассеты, чьи имена содержат указанный текст.
""p:Package"" - отображает ассеты из указанного пакета.
""a:AnimationClip"" - отображает анимационные клипы.
""s:Shader"" - отображает шейдеры.",92
Что такое Shadow mapping в Unity?,Техника для визуализации теней объектов в сцене.,Метод обхода коллизий для объектов в тени.,Алгоритм для оптимизации отрисовки объектов с использованием теней.,Метод для управления светом и его взаимодействия с объектами.,"Shadow mapping (теневая картировка) в Unity - это техника генерации теней в 3D-сценах. Она используется для визуального эффекта проецирования теней от источника света на объекты сцены. Применяется для достижения реалистичности визуализации, так как тени играют важную роль в восприятии объемности и глубины окружающего мира.",93
Что такое Light Probe Proxy Volume (LPPV) в Unity?,"Это компонент Unity, используемый для управления освещением и рассеянным светом в динамических сценах.","Это специальный вид коллайдера, который позволяет объектам взаимодействовать с окружающими световыми зондами.",Это инструмент для создания фотореалистичных отражений на объектах.,"Это функция Unity, позволяющая создавать и управлять анимацией световых источников.","Light Probe Proxy Volume (LPPV) в Unity - это компонент, который используется для улучшения качества освещения в сценах с динамическими объектами и перемещающимися персонажами.

LPPV позволяет уменьшить количество световых зондов, используемых в сцене, при этом сохраняя высокое качество освещения. Он используется для оптимизации производительности и уменьшения нагрузки на графический процессор.

LPPV позволяет создавать гладкие переходы между различными зонами освещения и повышает реалистичность отображаемых сцен. Этот компонент особенно полезен для больших и сложных сцен с разнообразными источниками света.",94
Что такое Post-Processing Stack в Unity?,"Это набор для пост-обработки, используемый для добавления различных эффектов камеры.",Это инструмент для создания пост-обработки аудиоэффектов в игре.,"Это технология для создания и настройки физических эффектов, таких как взрывы и дым.",Это система для создания и управления искусственным освещением в игре.,"Post-Processing Stack в Unity - это пакет инструментов, предназначенный для добавления и настройки пост-обработки графики в игре. Он позволяет применять различные эффекты после прохождения процесса рендеринга, такие как цветокоррекция, размытие, глубина резкости и другие, чтобы улучшить визуальное восприятие игры.",94
Что такое occlusion culling в Unity и как он улучшает производительность?,"Это метод оптимизации отрисовки объектов за сценой, которые не видны из текущей камеры.",Это метод оптимизации анимаций в Unity., Это компонент Unity для работы с искусственным интеллектом.,Это инструмент для создания кастомных шейдеров в Unity.,"Occlusion Culling (окклюзионная сортировка) в Unity - это техника оптимизации рендеринга, которая позволяет исключить из отрисовки объекты, которые находятся за другими объектами и не видны из текущей камеры. 

Результатом применения occlusion culling является снижение количества отрисованных объектов, сокращение затрат по процессору и видеокарте, а также повышение частоты кадров и общей производительности проекта. Особенно это актуально для больших сцен с множеством сложных объектов, например, в 3D-играх или симуляторах.",95
"Unity автоматически прикрепляет компонент SkinnedMeshRenderer к некоторым мешам, когда они добавляются в сцену. Почему это происходит?",Файл меша содержит кости и скелетную анимацию.,Игровой объект имеет компонент аниматора.,"Объект — персонаж, управляемый игроком.",Файл сетки содержит гуманоидного персонажа.,"SkinnedMeshRenderer - это компонент в Unity, который используется для отображения и анимации 3D-моделей, которые имеют скелетную анимацию. Он используется для отображения скиннед (скелетно-анимированных) мешей.

Скиннед меш - это 3D-модель, состоящая из вершин (vertices), которые связаны с костями (bones) с помощью весов (weights). Кости образуют сетку, и каждая вершина может быть привязана к одной или нескольким костям. Веса определяют, насколько каждая вершина будет двигаться вместе с соответствующей костью. Это позволяет создавать реалистичную и гибкую анимацию для персонажей, животных и других скиннед объектов.",96
Что такое IK (Inverse Kinematics) в Unity?,Это техника для создания реалистичной анимации движения объектов в сцене.,"Это компонент, позволяющий создавать и управлять системами частиц в игре.",Это альтернативный метод визуализации игровых объектов с использованием специальных материалов.,Это алгоритм для оптимизации работы с физическими материалами в игре.,"Inverse Kinematics (обратная кинематика) в Unity - это методика моделирования движения объектов таким образом, чтобы заданное положение и ориентация определенной точки (или точек) объекта были достигнуты за счет изменения параметров суставов или сочленений модели. Основная идея обратной кинематики заключается в том, чтобы определить значения углов, необходимые для достижения желаемой позиции и ориентации, исходя из известного положения и ориентации конечных точек объекта.",96
Что такое Addressable Assets System в Unity?,"Это система для организации и управления ресурсами, которая позволяет загружать их динамически в проекте.",Это компонент Unity для работы с базой данных.,Это система для упаковки ресурсов в один файл для упрощения их распространения., Это инструмент для работы с файловой системой и путями в Unity.,"С помощью Addressable Assets System разработчики могут создавать адресуемые ресурсы, которые имеют уникальные идентификаторы (адреса). 
Фишки AAS:
Динамическая загрузка: Ресурсы можно загружать и выгружать по мере необходимости.
Гибкость: Адреса ресурсов можно менять и обновлять без изменения кода.
Автоматическое управление памятью: AAS автоматически управляет выгрузкой ресурсов, которые больше не используются.
Локализация: Ресурсы можно легко локализовать, заменяя адресуемые ассеты на соответствующие локализованные версии.
Управление версиями: AAS предоставляет возможность управлять версиями ресурсов.",97
Что такое Burst Compiler?,Это технология для генерации высокоэффективного нативного кода из методов C# для улучшения производительности.,Это средство для создания визуальных эффектов и шейдеров в Unity.,"Это плагин, который позволяет разработчикам обмениваться своими проектами и ресурсами с другими командами в Unity.",Это инструмент для быстрого создания сложных анимаций и переходов между состояниями объектов в Unity.,"Burst Compiler - это технология в Unity, которая предоставляет возможность генерировать высокоэффективный нативный код для определенных методов C# или C#.NET, особенно для использования с Unity Job System. Он позволяет оптимизировать вычисления и ускорить выполнение кода за счет использования специальных оптимизаций и возможности многопоточности.

Важно отметить, что Burst Compiler не может использоваться для всех методов, а только для тех, которые удовлетворяют определенным ограничениям и условиям. Он обычно используется совместно с Unity Job System и Unity DOTS для достижения высокой производительности в игровых проектах.",98
"Что такое ""deferred rendering"" (отложенная отрисовка) и  ""forward rendering"" (прямая отрисовка) в Unity?",Алгоритмы для вычисления освещения и применения шейдеров,Различные настройки камеры для создания разных эффектов,Методы оптимизации для уменьшения числа отрисовок объектов,Механизмы для обработки коллизий и столкновений объектов,"Forward Rendering (прямая отрисовка):
Для каждого объекта в сцене происходит отдельная проходка всех источников света и материалов, чтобы получить итоговое изображение на экране.
Deferred Rendering (отложенная отрисовка):
Для каждого объекта в сцене происходит отдельная проходка для сбора информации о его свойствах.
Затем происходит отдельный проход для вычисления освещения на основе собранных данных, что позволяет уменьшить количество проходов по сравнению с forward rendering.
Deferred rendering хорошо работает с большим количеством источников света и объектов, что предпочтительно в крупных и сложных сценах.
В то время как forward rendering прост и эффективен для маленьких сцен и устройств с ограниченными возможностями. ",98
